wgp_loss, disc_real, disc_fake, gp
-4.831614, -5.154061, -0.513280, 0.835728
-5.187558, -5.483756, -0.403388, 0.699586
-5.637686, -7.641438, 0.433582, 1.570169
-4.563241, -3.448552, -2.096610, 0.981921
-4.861275, -8.247591, 1.415984, 1.970332
-3.558206, -0.956739, -3.053667, 0.452200
-4.785373, -4.258131, -1.085485, 0.558243
-3.765027, -7.876151, 1.218173, 2.892951
-4.146074, -2.346550, -2.340415, 0.540891
-4.532188, -3.291203, -1.398200, 0.157214
-5.286750, -6.919108, 0.256022, 1.376336
-4.837558, -6.035334, -0.196419, 1.394195
-5.202017, -4.658267, -1.290440, 0.746691
-5.234133, -5.885332, -0.613476, 1.264675
-5.266080, -5.516349, -0.535927, 0.786196
-4.995552, -5.914080, -0.126982, 1.045509
-5.403881, -5.759789, -0.734888, 1.090796
-4.852310, -6.277491, -0.008408, 1.433589
-4.590364, -2.885062, -2.434488, 0.729187
-4.931462, -7.158922, 1.204585, 1.022875
-4.568918, -4.214546, -1.156900, 0.802528
-4.636787, -5.540688, -0.742043, 1.645944
-4.931062, -4.055737, -1.318821, 0.443496
-5.069800, -6.088497, 0.110450, 0.908247
-5.662504, -6.072516, -0.908610, 1.318623
-4.720219, -5.781676, -0.528500, 1.589957
-4.439199, -3.402885, -1.442494, 0.406179
-5.306682, -5.736520, -0.404337, 0.834175
-4.984225, -5.181307, -0.851037, 1.048118
-5.074030, -5.301516, -0.747505, 0.974990
-4.905499, -6.041119, 0.192710, 0.942909
-4.318417, -2.691428, -2.497281, 0.870292
-3.296695, -9.391712, 2.675862, 3.419155
-1.245683, 1.206931, -4.113607, 1.660993
-2.160071, -1.420167, -1.131732, 0.391828
-3.752544, -3.743061, -0.095443, 0.085960
-4.311903, -5.889193, 0.677144, 0.900147
-4.616572, -6.387969, 0.539865, 1.231531
-5.188925, -5.542161, -0.441467, 0.794703
-5.248209, -5.470957, -0.618677, 0.841425
-5.002067, -5.984217, 0.093357, 0.888793
-5.289503, -6.074747, -0.257624, 1.042869
-4.981815, -5.022161, -0.614818, 0.655164
-5.087708, -5.887720, -0.184488, 0.984501
-5.080803, -4.750032, -0.873367, 0.542596
-5.049679, -6.622891, 0.247583, 1.325630
-4.706947, -4.227225, -0.997457, 0.517735
-4.926866, -4.988691, -0.728601, 0.790426
-5.008054, -6.415708, 0.162171, 1.245483
-4.400016, -3.603229, -1.167124, 0.370336
-5.193760, -6.557081, 0.273532, 1.089789
-4.808821, -5.323606, -0.131384, 0.646170
